ID,rep1,rep2,rep3,rep4,rep5,rep6,rep7,rep8,rep9,rep10,rep11,total.weight
137,288,71,77,262,75,36,163,,,,,972
146,98,214,60,183,120,34,114,25,82,,,930
183,132,66,615,180,211,,,,,,,1204
197,340,164,43,,,,,,,,,547
200,,,,,,,,,,,,
217,,,,,,,,,,,,
245,504,74,30,139,117,946,469,,,,,2279
271,431,1535,332,356,531,57,,,,,,3242
273,656,,,,,,,,,,,656
303,683,277,735,519,291,426,278,1200,,,,4409
442,,,,,,,,,,,,
444,404,128,272,636,,,,,,,,1440
452,1082,,,,,,,,,,,1082
462,314,2535,,,,,,,,,,2849
544,155,631,536,400,53,2330,,,,,,4105
614,,,,,,,,,,,,736
615,,,,,,,,,,,,1087
618,369,52,314,,,,,,,,,735
621,409,54,131,110,,,,,,,,704
651,341,264,418,317,423,556,386,629,516,1195,203,5248
